Date,Tweets,Likes
20240717-0505,0,0
20240717-0510,0,0
20240717-0515,0,0
20240717-0520,0,0
20240717-0525,0,0
20240717-0530,0,0
20240717-0535,0,0
20240717-0540,0,0
20240717-0545,0,0
20240717-0550,0,0
20240717-0555,0,0
20240717-0600,0,0
20240717-0605,0,0
20240717-0610,0,0
20240717-0615,0,0
20240717-0620,0,1
20240717-0625,0,1
20240717-0630,0,1
20240717-0635,2,2
20240717-0640,0,0
20240717-0645,0,2
20240717-0650,0,0
20240717-0655,0,2
20240717-0700,1,1
20240717-0705,1,2
20240717-0710,1,2
20240717-0715,0,1
20240717-0720,1,6
20240717-0725,2,4
20240717-0730,1,3
20240717-0735,1,1
20240717-0740,3,9
20240717-0745,1,5
20240717-0750,3,3
20240717-0755,1,3
20240717-0800,1,3
20240717-0805,0,1
20240717-0810,0,0
20240717-0815,0,0
20240717-0820,0,0
20240717-0825,0,0
20240717-0830,2,0
20240717-0835,0,0
20240717-0840,0,0
20240717-0845,0,1
20240717-0850,2,2
20240717-0855,0,0
20240717-0900,1,0
20240717-0905,0,0
20240717-0910,3,2
20240717-0915,3,8
20240717-0920,3,6
20240717-0925,4,3
20240717-0930,0,6
20240717-0935,3,6
20240717-0940,0,6
20240717-0945,1,1
20240717-0950,0,0
20240717-0955,0,0
20240717-1000,0,0
20240717-1005,0,0
20240717-1010,0,0
20240717-1015,0,0
20240717-1020,0,0
20240717-1025,0,0
20240717-1030,0,2
20240717-1035,2,10
20240717-1040,2,9
20240717-1045,1,8
20240717-1050,0,0
20240717-1055,0,0
20240717-1100,0,0
20240717-1105,2,2
20240717-1110,0,0
20240717-1115,0,0
20240717-1120,0,0
20240717-1125,0,0
20240717-1130,0,0
20240717-1135,0,0
20240717-1140,0,0
20240717-1145,0,0
20240717-1150,0,0
20240717-1155,0,0
20240717-1200,0,0
20240717-1205,0,0
20240717-1210,0,0
20240717-1215,0,0
20240717-1220,0,0
20240717-1225,0,0
20240717-1230,0,0
20240717-1235,0,0
20240717-1240,0,0
20240717-1245,0,0
20240717-1250,0,0
20240717-1255,0,0
20240717-1300,0,0
20240717-1305,0,0
20240717-1310,0,1
20240717-1315,0,0
20240717-1320,0,0
20240717-1325,0,0
20240717-1330,0,0
20240717-1335,0,0
20240717-1340,0,0
20240717-1345,0,0
20240717-1350,0,0
20240717-1355,0,0
20240717-1400,0,0
20240717-1405,0,0
20240717-1410,0,0
20240717-1415,0,0
20240717-1420,0,0
20240717-1425,0,0
20240717-1430,0,0
20240717-1435,1,2
20240717-1440,0,0
20240717-1445,0,0
20240717-1450,0,0
20240717-1455,0,0
20240717-1500,0,0
20240717-1505,0,0
20240717-1510,0,0
20240717-1515,0,0
20240717-1520,0,0
20240717-1525,0,0
20240717-1530,0,0
20240717-1535,2,2
20240717-1540,1,3
20240717-1545,0,0
20240717-1550,0,0
20240717-1555,0,0
20240717-1600,0,0
20240717-1605,0,0
20240717-1610,0,0
20240717-1615,0,0
20240717-1620,0,0
20240717-1625,0,0
20240717-1630,0,0
20240717-1635,0,0
20240717-1640,0,0
20240717-1645,0,0
20240717-1650,0,0
20240717-1655,0,0
20240717-1700,0,0
20240717-1705,0,0
20240717-1710,0,0
20240717-1715,0,0
20240717-1720,0,0
20240717-1725,0,0
20240717-1730,0,0
20240717-1735,0,0
20240717-1740,0,0
20240717-1745,0,0
20240717-1750,0,0
20240717-1755,0,0
20240717-1800,0,0
20240717-1805,0,0
20240717-1810,0,0
20240717-1815,0,0
20240717-1820,0,0
20240717-1825,0,0
20240717-1830,0,0
20240717-1835,0,0
20240717-1840,0,0
20240717-1845,0,0
20240717-1850,0,0
20240717-1855,0,0
20240717-1900,0,0
20240717-1905,0,0
20240717-1910,0,0
20240717-1915,0,0
20240717-1920,0,0
20240717-1925,0,0
20240717-1930,0,0
20240717-1935,0,0
20240717-1940,0,0
20240717-1945,0,1
20240717-1950,1,0
20240717-1955,0,0
20240717-2000,0,0
20240717-2005,0,0
20240717-2010,0,0
20240717-2015,0,0
20240717-2020,0,0
20240717-2025,0,0
20240717-2030,0,0
20240717-2035,0,0
20240717-2040,0,0
20240717-2045,0,0
20240717-2050,0,0
20240717-2055,0,0
20240717-2100,2,3
20240717-2105,4,8
20240717-2110,0,3
20240717-2115,0,0
20240717-2120,0,0
20240717-2125,0,6
20240717-2130,0,0
20240717-2135,0,0
20240717-2140,0,0
20240717-2145,0,0
20240717-2150,1,5
20240717-2155,0,0
20240717-2200,0,0
20240717-2205,0,0
20240717-2210,0,0
20240717-2215,0,0
20240717-2220,0,0
20240717-2225,0,0
20240717-2230,0,0
20240717-2235,0,0
20240717-2240,0,0
20240717-2245,0,0
20240717-2250,0,0
20240717-2255,0,0
20240717-2300,0,0
20240717-2305,0,0
20240717-2310,0,0
20240717-2315,0,0
20240717-2320,0,0
20240717-2325,0,0
20240717-2330,0,0
20240717-2335,0,0
20240717-2340,0,0
20240717-2345,0,0
20240717-2350,0,-1
20240717-2355,0,0
20240718-0000,0,0
20240718-0005,0,0
20240718-0010,0,0
20240718-0015,0,0
20240718-0020,0,0
20240718-0025,0,0
20240718-0030,0,0
20240718-0035,0,0
20240718-0040,0,0
20240718-0045,0,0
20240718-0050,0,0
20240718-0055,0,0
20240718-0100,0,0
20240718-0105,0,0
20240718-0110,0,0
20240718-0115,0,0
20240718-0120,0,0
20240718-0125,0,0
20240718-0130,0,0
20240718-0135,0,0
20240718-0140,0,0
20240718-0145,0,0
20240718-0150,0,0
20240718-0155,0,0
20240718-0200,0,0
20240718-0205,0,0
20240718-0210,0,0
20240718-0215,0,0
20240718-0220,0,0
20240718-0225,0,0
20240718-0230,0,0
20240718-0235,0,0
20240718-0240,0,0
20240718-0245,0,0
20240718-0250,0,0
20240718-0255,0,0
20240718-0300,0,0
20240718-0305,0,0
20240718-0310,0,0
20240718-0315,0,0
20240718-0320,0,0
20240718-0325,0,0
20240718-0330,0,0
20240718-0335,0,0
20240718-0340,0,0
20240718-0345,0,0
20240718-0350,0,0
20240718-0355,0,0
20240718-0400,0,0
20240718-0405,0,0
20240718-0410,0,0
20240718-0415,0,0
20240718-0420,0,0
20240718-0425,0,0
20240718-0430,0,0
20240718-0435,0,0
20240718-0440,0,0
20240718-0445,0,0
20240718-0450,0,0
20240718-0455,0,0
20240718-0500,0,0
20240718-0505,0,0
20240718-0510,0,0
20240718-0515,0,0
20240718-0520,0,0
20240718-0525,0,0
20240718-0530,0,0
20240718-0535,0,0
20240718-0540,0,0
20240718-0545,0,0
20240718-0550,0,0
20240718-0555,0,0
20240718-0600,0,0
20240718-0605,0,0
20240718-0610,0,0
20240718-0615,0,0
20240718-0620,0,0
20240718-0625,0,0
20240718-0630,0,0
20240718-0635,0,0
20240718-0640,0,0
20240718-0645,0,0
20240718-0650,1,3
20240718-0655,1,3
20240718-0700,4,5
20240718-0705,7,5
20240718-0710,1,2
20240718-0715,7,8
20240718-0720,2,7
20240718-0725,0,0
20240718-0730,1,4
20240718-0735,0,1
20240718-0740,0,0
20240718-0745,0,0
20240718-0750,0,0
20240718-0755,0,0
20240718-0800,0,0
20240718-0805,0,2
20240718-0810,4,4
20240718-0815,2,5
20240718-0820,0,1
20240718-0825,0,0
20240718-0830,0,0
20240718-0835,0,1
20240718-0840,0,0
20240718-0845,0,0
20240718-0850,0,0
20240718-0855,0,0
20240718-0900,0,0
20240718-0905,3,5
20240718-0910,5,5
20240718-0915,4,10
20240718-0920,4,7
20240718-0925,3,1
20240718-0930,0,0
20240718-0935,0,4
20240718-0940,0,0
20240718-0945,0,0
20240718-0950,0,0
20240718-0955,0,0
20240718-1000,0,0
20240718-1005,0,0
20240718-1010,0,0
20240718-1015,2,4
20240718-1020,1,1
20240718-1025,1,1
20240718-1030,1,0
20240718-1035,1,0
20240718-1040,2,3
20240718-1045,0,3
20240718-1050,-2,0
20240718-1055,0,0
20240718-1100,0,1
20240718-1105,0,0
20240718-1110,0,0
20240718-1115,0,0
20240718-1120,0,1
20240718-1125,0,1
20240718-1130,0,0
20240718-1135,0,0
20240718-1140,0,0
20240718-1145,0,0
20240718-1150,0,0
20240718-1155,0,0
20240718-1200,0,0
20240718-1205,0,0
20240718-1210,0,0
20240718-1215,0,0
20240718-1220,0,0
20240718-1225,2,4
20240718-1230,0,0
20240718-1235,0,0
20240718-1240,0,0
20240718-1245,0,0
20240718-1250,0,1
20240718-1255,0,0
20240718-1300,0,0
20240718-1305,0,0
20240718-1310,0,0
20240718-1315,0,0
20240718-1320,0,0
20240718-1325,0,0
20240718-1330,0,0
20240718-1335,0,0
20240718-1340,0,0
20240718-1345,0,0
20240718-1350,0,0
20240718-1355,0,3
20240718-1400,1,9
20240718-1405,1,2
