ID,Timestamp,Central,UTC,Tweet,Replies,Retweets,Likes,Views,Source,Birdwatch,URL
1860466168919646451,1732404675,2024-11-23T17:31:15-0600,Sat 23 Nov 23:31:15 UTC 2024,RT @buitengebieden: Arguing on 𝕏.. 😂 https://t.co/tFX463xBrJ,0,"5,102",0,22,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860466168919646451
1860466266789609518,1732404698,2024-11-23T17:31:38-0600,Sat 23 Nov 23:31:38 UTC 2024,😂,"4,985","21,552","220,473","32,735,926",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860466266789609518
1860467284394856461,1732404941,2024-11-23T17:35:41-0600,Sat 23 Nov 23:35:41 UTC 2024,@Yasin__Shafiei @DimaZeniuk Yes,40,22,381,"15,818",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860467284394856461
1860468899562627163,1732405326,2024-11-23T17:42:06-0600,Sat 23 Nov 23:42:06 UTC 2024,"Only patents for things that are super expensive to prove work, but are then easy to manufacture (like stage 3 drug trials) have any merit https://t.co/2UaR61r0NE","2,788","14,329","117,803","28,239,603",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860468899562627163
1860468951064445202,1732405338,2024-11-23T17:42:18-0600,Sat 23 Nov 23:42:18 UTC 2024,Yes!,"1,480","3,599","49,220","18,997,812",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860468951064445202
1860469494268743696,1732405467,2024-11-23T17:44:27-0600,Sat 23 Nov 23:44:27 UTC 2024,@TiffanyFong_ 🔫🔫,118,52,"1,044","64,267",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860469494268743696
1860469845453676752,1732405551,2024-11-23T17:45:51-0600,Sat 23 Nov 23:45:51 UTC 2024,Obviously,599,855,"8,095","5,854,305",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860469845453676752
1860470244973662249,1732405646,2024-11-23T17:47:26-0600,Sat 23 Nov 23:47:26 UTC 2024,"@SimonSaysKnow It was more that, but killing the Bee was certainly symptomatic of a much larger issue",47,62,727,"18,276",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860470244973662249
1860470451887051214,1732405696,2024-11-23T17:48:16-0600,Sat 23 Nov 23:48:16 UTC 2024,@VivekGRamaswamy Yes,77,104,"1,946","152,257",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860470451887051214
1860470986438545485,1732405823,2024-11-23T17:50:23-0600,Sat 23 Nov 23:50:23 UTC 2024,😂💯,"2,423","5,104","68,776","18,415,491",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860470986438545485
1860472135099031624,1732406097,2024-11-23T17:54:57-0600,Sat 23 Nov 23:54:57 UTC 2024,I … am … Ironyman …,"13,052","17,100","300,826","63,503,463",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860472135099031624
1860472480424431680,1732406179,2024-11-23T17:56:19-0600,Sat 23 Nov 23:56:19 UTC 2024,@PlanetOfMemes Yes,50,41,713,"18,440",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860472480424431680
1860472834566373488,1732406264,2024-11-23T17:57:44-0600,Sat 23 Nov 23:57:44 UTC 2024,Almost 80% of asylum seekers went on vacation to their home countries …,"5,449","42,370","189,622","44,427,522",Twitter for iPhone,has birdwatch note,https://twitter.com/elonmusk/status/1860472834566373488
1860473152091865582,1732406340,2024-11-23T17:59:00-0600,Sat 23 Nov 23:59:00 UTC 2024,How to get to the new interface. Try it for a few days and you won’t go back.,"1,675","1,555","14,253","3,967,892",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860473152091865582
1860473569219613155,1732406439,2024-11-23T18:00:39-0600,Sun 24 Nov 00:00:39 UTC 2024,“Leonard” lmaoooo,"2,480","5,443","45,311","8,244,429",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860473569219613155
1860475501938176117,1732406900,2024-11-23T18:08:20-0600,Sun 24 Nov 00:08:20 UTC 2024,@alifarhat79 😂,54,26,585,"22,404",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860475501938176117
1860475842800812347,1732406981,2024-11-23T18:09:41-0600,Sun 24 Nov 00:09:41 UTC 2024,Actual footage of me after @realDonaldTrump won https://t.co/PhPJjzaw0J,"10,350","32,649","451,118","60,495,051",Twitter for iPhone,has birdwatch note,https://twitter.com/elonmusk/status/1860475842800812347
1860476512014639357,1732407141,2024-11-23T18:12:21-0600,Sun 24 Nov 00:12:21 UTC 2024,@tedcruz 😂,68,73,"1,430","65,081",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860476512014639357
1860476695725183439,1732407184,2024-11-23T18:13:04-0600,Sun 24 Nov 00:13:04 UTC 2024,🤨,"2,027","10,834","92,812","24,213,304",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860476695725183439
1860476995370455296,1732407256,2024-11-23T18:14:16-0600,Sun 24 Nov 00:14:16 UTC 2024,India counted 640 million votes in 1 day. California is still counting votes 🤦‍♂️,"11,792","53,166","339,923","39,449,124",Twitter for iPhone,has birdwatch note,https://twitter.com/elonmusk/status/1860476995370455296
1860477104170623123,1732407282,2024-11-23T18:14:42-0600,Sun 24 Nov 00:14:42 UTC 2024,@diana_dukic Ok,62,30,621,"19,954",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860477104170623123
1860477824571724207,1732407454,2024-11-23T18:17:34-0600,Sun 24 Nov 00:17:34 UTC 2024,"I will use the power of irony to defeat villains! “Oh you call yourself “The Joker”, then why can’t you tell a joke! How ironic …” https://t.co/6HZ1sLkBAj","11,862","22,469","227,831","19,760,719",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860477824571724207
1860477920201851058,1732407476,2024-11-23T18:17:56-0600,Sun 24 Nov 00:17:56 UTC 2024,@cb_doge More irony!,136,94,"1,215","38,136",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860477920201851058
1860478835134718067,1732407694,2024-11-23T18:21:34-0600,Sun 24 Nov 00:21:34 UTC 2024,"But one is Marvel and the other is DC. Oh no, not more irony 🤭",689,685,"9,216","1,008,760",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860478835134718067
1860479603883606132,1732407878,2024-11-23T18:24:38-0600,Sun 24 Nov 00:24:38 UTC 2024,😘😘🔫🔫 https://t.co/PVUXpXPOQa,"5,365","4,201","68,105","18,621,194",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860479603883606132
1860480338704687316,1732408053,2024-11-23T18:27:33-0600,Sun 24 Nov 00:27:33 UTC 2024,1 biiiillliiionnnn users https://t.co/9LSf93CNbG,"5,319","18,982","270,983","43,782,961",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860480338704687316
1860480571123642698,1732408108,2024-11-23T18:28:28-0600,Sun 24 Nov 00:28:28 UTC 2024,@MostlyPeacefull @realDonaldTrump 💯😂,71,107,"3,759","327,399",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860480571123642698
1860480721178988828,1732408144,2024-11-23T18:29:04-0600,Sun 24 Nov 00:29:04 UTC 2024,@AutismCapital 😂,47,38,940,"33,049",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860480721178988828
1860481211623227730,1732408261,2024-11-23T18:31:01-0600,Sun 24 Nov 00:31:01 UTC 2024,The Right to Bear Arms https://t.co/bJdr90YOhK,"26,093","43,071","683,260","58,394,746",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860481211623227730
1860481488761794965,1732408327,2024-11-23T18:32:07-0600,Sun 24 Nov 00:32:07 UTC 2024,RT @MostlyPeacefull: @elonmusk @realDonaldTrump https://t.co/hFqGXP1ruL,0,"1,417",0,28,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860481488761794965
1860481614129533165,1732408357,2024-11-23T18:32:37-0600,Sun 24 Nov 00:32:37 UTC 2024,Wow,"5,851","26,574","146,781","22,701,495",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860481614129533165
1860481839904723365,1732408411,2024-11-23T18:33:31-0600,Sun 24 Nov 00:33:31 UTC 2024,@BasedMikeLee Pure gold,108,119,"1,751","35,180",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860481839904723365
1860481968258855263,1732408441,2024-11-23T18:34:01-0600,Sun 24 Nov 00:34:01 UTC 2024,@diana_dukic 😂,43,30,483,"18,964",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860481968258855263
1860483667308556621,1732408847,2024-11-23T18:40:47-0600,Sun 24 Nov 00:40:47 UTC 2024,@tunguz https://t.co/6DdrUITigC,74,74,577,"77,813",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860483667308556621
1860484993899807046,1732409163,2024-11-23T18:46:03-0600,Sun 24 Nov 00:46:03 UTC 2024,Me for the past 3 hours 💩posting on 𝕏 https://t.co/iM9IMudS0G,"11,347","21,236","359,404","37,696,262",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860484993899807046
1860485552182534363,1732409296,2024-11-23T18:48:16-0600,Sun 24 Nov 00:48:16 UTC 2024,@cause_a_wreck @MostlyPeacefull @realDonaldTrump Wandering around the Mojave desert in Fallout wasn’t so bad,24,29,478,"24,692",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860485552182534363
1860485780499464560,1732409350,2024-11-23T18:49:10-0600,Sun 24 Nov 00:49:10 UTC 2024,@LibertyCappy https://t.co/gbHQKLIrt0,187,140,"2,974","213,573",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860485780499464560
1860485873881547014,1732409373,2024-11-23T18:49:33-0600,Sun 24 Nov 00:49:33 UTC 2024,RT @LibertyCappy: @elonmusk My favorite meme with that template 😂 https://t.co/FvYEcs67en,0,"1,493",0,35,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860485873881547014
1860486079268143275,1732409422,2024-11-23T18:50:22-0600,Sun 24 Nov 00:50:22 UTC 2024,Get paid to post on 𝕏!,"15,464","8,871","124,421","37,830,696",Twitter for iPhone,has birdwatch note,https://twitter.com/elonmusk/status/1860486079268143275
1860486138554708358,1732409436,2024-11-23T18:50:36-0600,Sun 24 Nov 00:50:36 UTC 2024,RT @teslaownersSV: 𝕏 has the most unregretted minutes,0,459,0,37,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860486138554708358
1860486416817426530,1732409502,2024-11-23T18:51:42-0600,Sun 24 Nov 00:51:42 UTC 2024,@ImMeme0 Is this real? @CommunityNotes,575,374,"3,113","103,294",Twitter for iPhone,has birdwatch note,https://twitter.com/elonmusk/status/1860486416817426530
1860486940002242582,1732409627,2024-11-23T18:53:47-0600,Sun 24 Nov 00:53:47 UTC 2024,@TheChiefNerd 👀,86,101,"1,295","40,742",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860486940002242582
1860487473014403570,1732409754,2024-11-23T18:55:54-0600,Sun 24 Nov 00:55:54 UTC 2024,RT @EvaLovesDesign: https://t.co/dsJ4quY5W0,0,879,0,44,Twitter for iPhone,,https://twitter.com/elonmusk/status/1860487473014403570
1860488067791900834,1732409896,2024-11-23T18:58:16-0600,Sun 24 Nov 00:58:16 UTC 2024,@Fidias0 🤔,66,59,"1,609","95,458",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860488067791900834
1860488200549974467,1732409927,2024-11-23T18:58:47-0600,Sun 24 Nov 00:58:47 UTC 2024,@SwipeWright 💯,24,31,521,"19,437",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860488200549974467
1860488281466569043,1732409947,2024-11-23T18:59:07-0600,Sun 24 Nov 00:59:07 UTC 2024,@cb_doge 💯😂,111,66,946,"36,298",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860488281466569043
1860488429391302805,1732409982,2024-11-23T18:59:42-0600,Sun 24 Nov 00:59:42 UTC 2024,My phone today https://t.co/o4n2ae2Lmb,"14,271","55,042","568,967","71,840,791",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860488429391302805
1860488491181760542,1732409997,2024-11-23T18:59:57-0600,Sun 24 Nov 00:59:57 UTC 2024,@realdeepakterra @Fidias0 Yes,40,46,"1,200","84,692",Twitter for iPhone,,https://twitter.com/elonmusk/status/1860488491181760542
