date,adriantweets,adrianlikes,elontweets,elonlikes
20240731-0850,0,0,1,3
20240731-0855,0,0,0,0
20240731-0900,0,0,0,0
20240731-0905,0,0,1,1
20240731-0910,0,0,0,0
20240731-0915,0,0,0,0
20240731-0920,0,0,1,1
20240731-0925,0,0,1,1
20240731-0930,0,0,0,2
20240731-0935,0,0,3,4
20240731-0940,0,0,0,1
20240731-0945,0,0,0,0
20240731-0950,0,0,0,1
20240731-0955,0,0,1,0
20240731-1000,0,0,0,0
20240731-1005,0,0,0,0
20240731-1010,0,0,0,0
20240731-1015,0,0,0,0
20240731-1020,0,0,2,2
20240731-1025,0,0,4,4
20240731-1030,0,0,1,1
20240731-1035,0,0,0,0
20240731-1040,0,0,0,0
20240731-1045,0,0,0,0
20240731-1050,0,0,0,0
20240731-1055,0,0,0,0
20240731-1100,0,0,0,0
20240731-1105,0,0,3,2
20240731-1110,0,0,0,0
20240731-1115,0,0,0,0
20240731-1120,0,0,0,0
20240731-1125,0,0,0,0
20240731-1130,0,0,0,0
20240731-1135,0,0,0,0
20240731-1140,0,0,0,0
20240731-1145,0,0,0,0
20240731-1150,0,0,0,0
20240731-1155,0,0,0,0
20240731-1200,0,0,0,0
20240731-1205,0,0,0,0
20240731-1210,0,0,0,0
20240731-1215,0,1,0,0
20240731-1220,1,0,0,0
20240731-1225,0,0,0,0
20240731-1230,1,2,0,0
20240731-1235,0,1,0,0
20240731-1240,0,0,0,0
20240731-1245,2,1,0,0
20240731-1250,2,3,0,2
20240731-1255,0,0,0,1
20240731-1300,0,3,0,1
20240731-1305,0,3,0,1
20240731-1310,0,0,0,0
20240731-1315,0,0,0,0
20240731-1320,0,0,2,6
20240731-1325,0,0,0,0
20240731-1330,1,3,0,0
20240731-1335,0,0,0,0
20240731-1340,0,0,1,5
20240731-1345,0,0,1,2
20240731-1350,0,2,0,1
20240731-1355,1,3,1,0
20240731-1400,0,1,0,0
20240731-1405,0,1,0,0
20240731-1410,0,0,0,0
20240731-1415,0,0,0,0
20240731-1420,0,0,0,0
20240731-1425,3,1,3,4
20240731-1430,1,0,0,0
20240731-1435,0,1,0,0
20240731-1440,1,1,2,4
20240731-1445,0,0,0,0
20240731-1450,1,0,0,0
20240731-1455,1,0,0,0
20240731-1500,1,0,0,0
20240731-1505,1,0,0,0
20240731-1510,1,3,2,5
20240731-1515,1,3,2,7
20240731-1520,2,2,1,2
20240731-1525,0,0,0,0
20240731-1530,0,0,0,0
20240731-1535,0,0,0,0
20240731-1540,0,0,0,0
20240731-1545,0,0,0,0
20240731-1550,0,0,0,0
20240731-1555,0,0,0,0
20240731-1600,0,0,0,0
20240731-1605,1,1,0,0
20240731-1610,0,4,0,0
20240731-1615,0,0,4,5
20240731-1620,0,0,1,1
20240731-1625,0,6,0,6
20240731-1630,0,4,0,3
20240731-1635,1,4,0,0
20240731-1640,0,0,0,0
20240731-1645,2,3,0,0
20240731-1650,4,2,0,0
20240731-1655,0,0,0,0
20240731-1700,1,2,0,0
20240731-1705,1,0,0,0
20240731-1710,1,0,0,0
20240731-1715,2,13,0,0
20240731-1720,0,4,1,1
20240731-1725,0,0,1,0
20240731-1730,0,0,0,6
20240731-1735,0,0,3,5
20240731-1740,0,0,0,4
20240731-1745,0,1,0,0
20240731-1750,0,3,1,0
20240731-1755,0,1,0,1
20240731-1800,0,0,0,1
20240731-1805,0,1,1,2
20240731-1810,0,0,0,1
20240731-1815,0,3,1,0
20240731-1820,0,0,5,6
20240731-1825,0,1,1,7
20240731-1830,0,0,2,8
20240731-1835,0,3,0,9
20240731-1840,0,1,0,2
20240731-1845,0,4,0,6
20240731-1850,1,3,0,3
20240731-1855,0,2,2,4
20240731-1900,1,2,1,2
20240731-1905,0,0,6,7
20240731-1910,0,10,1,8
20240731-1915,0,0,2,5
20240731-1920,1,3,2,4
20240731-1925,1,3,2,5
20240731-1930,0,0,0,2
20240731-1935,0,0,1,1
20240731-1940,0,1,0,1
20240731-1945,1,1,0,0
